Date,TA.Charge.BPD,TA.OH.PSIG,TA.Tray4.F,TA.OH.F,TA.RECV.PCT,TA.RECV.PSIG,TA.REFLUX.BPD,TA.RECYCLE.TO.CONTACT.BPD,TA.RECYCLE.TO.CONTACT.F,TA.TRAY39.F,TA.TRAY45.F,TA.DP.PSIG,TA.BTM.PSIG,TA.BTM.LEVEL.PCT,TA.BTM.REBOIL.OUT.F,TA.TOP.REBOIL.OUT.F
12/28/2018 18:30,13388.90137,96.85134888,134.6984863,132.9193115,19.08605766,99.57885742,5836.193848,6271.975586,77.43682861,162.8967285,175.881958,5.284881592,102.1179199,73.8067627,317.8955078,225.6897125
12/28/2018 18:22,14406.26465,97.84698486,135.5010986,133.7432861,16.52320862,100.5737305,5823.81543,6373.066406,77.62908936,163.4368896,176.7151031,5.223075867,103.1227112,75.89874268,315.6188965,221.5576172
12/28/2018 18:20,14596.40527,98.02552032,135.5438232,133.7536469,16.60478592,100.6622391,5848.365723,6214.481934,77.32391357,163.458252,176.4007568,5.142974854,103.2142639,76.10778809,315.3320313,221.2890625
12/28/2018 18:12,14775.13086,97.73255157,135.3485107,133.5510254,18.46915627,100.4058914,5831.036133,6308.562988,77.4307251,162.9730225,175.6256104,5.209350586,102.9464722,76.10168457,316.3696289,223.8647461
12/28/2018 18:10,14462.29492,97.53799438,135.0097656,133.2733154,19.05509949,100.2258301,5817.317383,6295.140137,77.4520874,162.9516602,175.3112946,5.083465576,102.6374817,75.81634521,316.6687012,224.4018555
12/28/2018 18:02,13449.86035,96.77124023,134.5001221,133.0810547,20.13055801,99.51171875,5840.629395,6300.009766,77.58026123,162.7380371,175.079361,5.147592545,102.166214,74.58190918,317.3217773,226.6723633
12/28/2018 17:59,12906.15918,96.82388306,134.5825195,132.8460693,20.06461525,99.54223633,5822.887695,6277.439941,77.62298584,162.8417969,175.1831055,5.099487305,101.8981934,74.22027588,317.8039551,226.7517242
12/28/2018 17:52,13382.93457,96.94973755,134.664917,132.9071045,19.02576637,99.64447021,5815.873047,6369.858887,77.42462158,162.9638519,175.5102539,5.170440674,102.0698547,73.76861572,318.170166,225.9216461
12/28/2018 17:48,13757.50781,97.32284546,135.0891113,133.3312988,17.85972786,100.0061035,5809.787598,6323.530762,77.46734619,163.3422852,175.9307861,5.097198486,102.4360657,73.93951416,317.1081543,223.840332
12/28/2018 17:41,14957.23047,97.97285461,135.4582367,133.7309113,17.09183502,100.592041,5822.578125,6339.923828,77.22625732,163.1103516,176.0559235,5.172729492,103.1455994,76.03759766,315.6860352,221.4904938
12/28/2018 17:38,14667.99902,97.99575806,135.4888916,133.7097168,17.35881042,100.604248,5844.754883,6353.109375,77.29034424,163.1286621,176.0742188,5.216217041,103.1890945,76.20391846,315.7287598,222.1679688
12/28/2018 17:31,13936.75293,97.38693237,134.9975586,133.1573486,19.40039253,100.0793457,5856.926758,6252.613281,77.39122009,162.9394531,175.5523682,5.234527588,102.6374817,75.12969971,316.4211731,225.9399414
12/28/2018 17:28,13422.36328,97.07337189,134.7015381,133.2214355,19.90999222,99.83978271,5842.79541,6336.003906,77.13623047,162.9577637,175.6317139,5.177307129,102.2987366,74.8550415,317.3461914,226.2695313
12/28/2018 17:21,13435.07422,97.05276489,134.7839355,132.9650879,19.68858337,99.81689453,5866.003906,6209.848633,77.1987915,163.0004883,175.3814697,5.220787048,102.2506714,74.37286377,317.9138794,226.9042969
12/28/2018 17:17,13449.86035,96.9909668,134.8480225,133.0097198,19.60670853,99.72840118,5822.37207,6262.234863,77.52532959,163.0828857,175.4211578,5.188751221,102.1499634,74.32861328,317.7124023,225.7324219
12/28/2018 17:11,13860.23047,97.1534729,134.9090576,133.3862305,18.88465118,99.87030029,5819.483887,6357.623047,77.5680542,162.7685547,175.4425049,5.136108398,102.2209167,74.09210205,317.2058105,224.5361328
12/28/2018 17:07,13928.19238,97.46932983,135.2478027,133.4289551,18.0071106,100.2319336,5843.311035,6385.657715,77.5894165,163.1866455,175.7965088,5.101776123,102.5276184,74.44915771,317.5292969,223.919693
12/28/2018 17:00,14337.78418,97.69593048,135.3088379,133.5326538,18.21400833,100.3479004,5838.256836,6300.723145,77.30560303,163.2263184,175.8575439,5.094909668,102.7862625,75.99945068,315.8627625,222.2229156
12/28/2018 16:57,14615.34082,97.61581421,134.9914551,133.5754395,18.62878036,100.2777176,5795.037598,6418.918945,77.32696533,162.9333496,175.9002686,5.257415771,102.848053,76.40075684,315.9423828,222.6318359
12/28/2018 16:50,13825.72852,97.04589844,134.8205566,133.0841064,19.90567589,99.7345047,5810.200195,6237.883301,77.39105225,162.7410889,175.3548584,5.104064941,102.1499634,75.1159668,317.3583984,225.3112946
12/28/2018 16:47,13439.4834,96.91085815,134.8815918,133.102417,20.01112938,99.59564209,5833.615234,6352.87207,77.41241455,162.802124,175.4150391,5.204772949,102.1316528,74.5880127,317.7001953,225.7019196
12/28/2018 16:40,13536.49902,96.89713287,134.9595184,132.9528809,19.12888145,99.59564209,5824.950684,6384.70752,77.86560059,162.9272461,175.4865112,5.145261765,102.1728516,74.88708496,317.5537109,225.5126953
12/28/2018 16:36,13611.9834,96.99554443,134.7106934,132.9742432,18.89909363,99.64447021,5802.669922,6372.47168,77.88696289,163.0096436,175.6011963,5.113220215,102.1179199,74.48120117,317.9199219,225.2258453
12/28/2018 16:29,13599.27344,97.6020813,135.1099396,133.3531952,17.14590073,100.2771606,5801.123047,6333.271484,77.55092621,163.3370209,175.9677124,5.202114105,102.8108826,74.5977478,316.7987366,222.8726044
12/28/2018 16:26,13997.19238,97.94311523,135.4278564,133.6914063,16.68415642,100.6012039,5839.597656,6370.214844,77.32086182,163.0493164,175.9948883,5.197906494,103.1410217,75.67596436,315.8691406,221.6125641
12/28/2018 16:18,14459.18262,97.84469604,135.1531982,133.6517334,18.25329018,100.4733505,5843.620605,6265.680176,77.08129883,162.6953125,175.3479156,5.165863037,103.0128479,76.04522705,316.1132813,222.8088531
12/28/2018 16:16,14147.64355,97.70507813,135.1928711,133.3526611,18.72938538,100.3723145,5863.528809,6193.456055,77.08129883,162.4420166,175.3692627,5.142974854,102.848053,75.85449219,316.7053223,223.6999664
12/28/2018 16:07,13401.61133,96.93145752,134.4940186,133.0780029,20.29959679,99.7543335,5862.1875,6345.269531,76.86145782,162.4603271,175.0946045,5.207064152,102.1270828,74.77874756,317.5170898,226.7273102
12/28/2018 16:06,12591.24707,96.81930542,134.6008301,133.0780029,20.5597229,99.61395264,5831.345703,6204.741211,76.86157227,162.5427246,175.1159821,5.1612854,102.0011902,74.57580566,317.5537109,227.0202789
12/28/2018 15:57,13215.3623,96.74578857,134.6616516,133.1374054,19.72166824,99.4673996,5839.42627,6362.913086,76.53845215,162.8601074,175.4073334,5.142491341,101.9201889,74.15970612,317.9215088,225.8239899
12/28/2018 15:55,13286.17871,97.0001297,134.9395752,133.1390381,18.88022614,99.72840118,5823.506348,6255.464355,76.57775879,163.192749,175.4089508,5.088043213,102.07901,73.99139404,318.2250977,225.2258453
12/28/2018 15:47,14252.44141,97.76229858,135.5316162,133.7768555,17.1096077,100.5126953,5814.635742,6343.368652,76.79748535,163.4276733,176.663208,5.078895569,102.9212952,75.18615723,316.0766602,221.8444977
12/28/2018 15:45,14340.6377,98.0140686,135.4919434,133.7341309,16.99607468,100.6744461,5825.878906,6353.821777,76.77612305,163.1103516,176.6235352,5.271148682,103.276062,76.12762451,315.8081055,221.2036133
12/28/2018 15:36,14677.0791,97.49221802,135.1928711,133.4381104,19.46692467,100.1098633,5813.70752,6342.893066,76.99584961,162.7960205,175.390625,5.122367859,102.5848465,75.93078613,316.1743164,224.1088867
12/28/2018 15:35,14286.68262,97.315979,134.854126,133.1604004,19.80005264,99.98168945,5802.154297,6394.92334,77.34222412,162.77771,175.3479156,5.25970459,102.532196,75.89874268,316.5588379,224.7070313
12/28/2018 15:35,14286.68262,97.315979,134.8541718,133.1604004,19.80005264,99.98168945,5802.154297,6394.92334,77.34217072,162.77771,175.3479156,5.25970459,102.532196,75.89874268,316.5588379,224.7070313
12/28/2018 15:25,13462.05078,96.91309357,134.5583344,132.8826904,20.05828667,99.61700439,5768.218262,6232.775391,78.03644562,162.8437653,175.4089508,5.268859863,102.1499634,74.71008301,317.3034668,225.7751617
